,Name,Taste,Type,Function,Effect
327,杜仲,甘、温,肝、肾,补肝肾、强筋骨、安胎,补肝肾、强筋骨、安胎
328,续断,苦、辛、微温,肝、肾,补肝肾、脉,补肝肾、脉
329,狗脊,苦、甘、温,肝、肾,补肝肾、祛风湿,补肝肾、祛风湿
330,骨碎补,苦、温,肝、肾,补肾、止痛,补肾、止痛
331,补骨脂,辛、苦、温,肾、脾,、壮阳、固精、缩尿、纳气、止泻,、壮阳、固精、缩尿、纳气、止泻
332,冬虫夏草,甘、温,肺、肾,、补肾、止血、化痰,、补肾、止血、化痰
333,蛤蚧,咸、平,肺、肾,、纳气、助阳、益精,、纳气、助阳、益精
334,胡桃仁,甘、温,肾、肺、大肠,补肾、纳气、润肠、通便,补肾、纳气、润肠、通便
335,紫河车,甘、咸、温,肺、肝、肾,、养血、益精,、养血、益精
336,菟丝子,辛、甘、微温,肝、肾,补肾、固精、明目、健脾、止泻,补肾、固精、明目、健脾、止泻
337,沙苑子,甘、温,肝、肾,补肾、固精、明目,补肾、固精、明目
338,锁阳,甘、温,肝、肾、大肠,补肾、壮阳、润肠、通便,补肾、壮阳、润肠、通便
339,海狗肾,咸、热,肾,、壮阳、益精、,、壮阳、益精、
340,韭子,辛、甘、温,肝、肾,补肝肾、壮阳、固精,补肝肾、壮阳、固精
341,阳起石,咸、温,肾,,
342,雪莲花,甘、微苦、温,肝、脾、肾,补肾、壮阳、止血,补肾、壮阳、止血
343,海龙,甘、咸、温,肝、肾,补肾、壮阳、散结,补肾、壮阳、散结
344,海马,甘、咸、温,肝、肾,、壮阳、散结、消肿、,、壮阳、散结、消肿、
345,鹿衔草,甘、苦、温,肝、肾,、祛风、除湿、止血,、祛风、除湿、止血
346,麝香,辛、温,心、脾,开窍、活血、散结、止痛、,开窍、活血、散结、止痛、
347,冰片,辛、苦、微寒,心、脾、肺,开窍、清热、止痛,开窍、清热、止痛
348,苏合香,辛、温,心、脾,开窍、辟秽、豁痰、止痛,开窍、辟秽、豁痰、止痛
349,石菖蒲,辛、苦、温,心、胃,开窍、豁痰、化湿、和胃,开窍、豁痰、化湿、和胃
350,安息香,辛、苦、温,心、肝、脾,开窍、辟秽、豁痰、行气、活血、止痛,开窍、辟秽、豁痰、行气、活血、止痛
351,樟脑,辛、热,有小毒,、辟秽、杀虫、止痛,、辟秽、杀虫、止痛
352,蟾酥,辛、凉、有毒,心、肝、脾、肺,解毒散结；消积利水；杀虫,解毒散结；消积利水；杀虫
353,天南星,苦、辛、温,有毒,燥湿、化痰、祛风、止痉、散结、消肿,燥湿、化痰、祛风、止痉、散结、消肿
354,白附子,辛、甘温,有毒,燥湿、化痰、祛风、止痉、解毒、散结,燥湿、化痰、祛风、止痉、解毒、散结
355,白芥子,辛、温,肺,、祛痰、散结、通络、止痛,、祛痰、散结、通络、止痛
356,皂荚,辛、温,有小毒,祛痰、止咳、开窍、消肿、杀虫,祛痰、止咳、开窍、消肿、杀虫
357,旋覆花,苦、辛、咸、微温,肺、脾、胃、大肠,消痰、止呕,消痰、止呕
358,白前,辛、甘、微温,肺,祛痰止咳,祛痰止咳
359,石决明,咸、寒,肝,平肝、潜阳、清热、明目,平肝、潜阳、清热、明目
360,珍珠母,咸、寒,肝、心,平肝、潜阳、清肝、明目,平肝、潜阳、清肝、明目
361,牡蛎,咸、寒,肝、肾,、安神、平肝、潜阳、软坚、散结、收敛、,、安神、平肝、潜阳、软坚、散结、收敛、
362,紫贝齿,咸、平,肝,镇惊、安神、清肝、明目,镇惊、安神、清肝、明目
363,代赭石,苦、寒,肝、心,平肝、潜阳、降逆、止血,平肝、潜阳、降逆、止血
364,决明子,苦、甘、咸、微寒,肝、大肠,清肝、明目、润肠、通便,清肝、明目、润肠、通便
365,刺蒺藜,苦、辛、平,肝,平肝、解郁、疏散、风热、活血、明目、止痒,平肝、解郁、疏散、风热、活血、明目、止痒
366,罗布麻,苦、甘、凉,肝、心,平肝、清热、利尿,平肝、清热、利尿
367,穞豆衣,甘、平,肝、肾,养血、平肝、,养血、平肝、
368,羚羊角,咸、寒,肝、心,平肝、息风、清肝、明目、清热、解毒,平肝、息风、清肝、明目、清热、解毒
369,山羊角,咸、微寒,肝,平肝、镇惊、清热、化瘀,平肝、镇惊、清热、化瘀
